page,text,left,top,width,height
1,EARLY BOOKS AND EARLY READERS AT NOSTELL PRIORY,198,119,702,16
1,"second-hand, originally inscribed by one John Duckenfield. Winn",150,172,799,33
1,was keen to make it his own: it is inscribed '[Ge]orge Wynn owneth,151,209,798,32
1,"this booke', the ownership also witnessed by one George Stinton.",151,247,796,33
1,"George Winn's son, the 2nd Baronet, was equally keen to assert",152,284,798,33
1,"ownership on inheriting the same book, signing it 'Edmund Winn:",151,322,796,34
1,Liber hic meus testis est.' By I October 1695 the book had changed,150,359,798,33
1,"hands again, signed by Edmund's brother, George Winn (b.c.1645),",151,397,797,33
1,"then later still it was signed by Rowland Winn, 3rd Baronet. The",151,434,798,33
1,"1695 date of George Winn's inscription is pertinent, coming the",152,472,796,33
1,"year after the death of his father, and other inscriptions indicate that",151,509,798,33
1,this transfer may have been part of a wider dispersal of books. A,151,547,798,33
1,group of nine books were all marked in 1696 by Edmund Winn of,151,585,803,33
1,"Acton (1678-1743), the second son of the 2nd Baronet, perhaps an",151,622,798,34
1,"inheritance from his father, although none bear his mark. Alongside",151,659,798,33
1,these few books marked by various early members of the Winn,151,697,798,32
1,family are several hundred other contemporary books of a similar,151,734,798,33
1,"type, bound in unremarkable English bindings and acquired in the",151,772,798,34
1,"17th century, many on the second-hand market and with earlier",153,809,796,33
1,Yorkshire owners. We have no reason not to assume that these share,150,847,799,25
1,a common provenance.,150,894,280,22
1,Building a Library: The Acquisition of the Ludlam Family Books,152,959,722,34
1,This accretion of family books represents the first stirrings of a,150,997,798,33
1,dynastic family library at Nostell. The growing belief that a landed,151,1034,798,33
1,"family should have a library and that it represented their wealth,",151,1072,796,33
1,status and pedigree is apparent from the numerous early armorial,150,1109,799,33
1,bookplates commissioned in the period 1690-1710. These reflect a,151,1147,798,33
1,series of contemporary changes in taste and fashion in book collect-,150,1183,799,34
1,"ing, library use and library design. With a few notable exceptions,",150,1222,797,34
1,"mostearly 17th-century private libraries were 'closet' libraries, small",152,1259,797,33
1,collections of practical books kept in a locked chest or in a closet off a,151,1297,798,33
1,"bedchamber, and as such wholly private spaces for study, devotion",151,1334,798,33
1,and contemplation. With the increase in printed output in the 16th,150,1372,798,34
1,"and 17th centuries, books became more affordable and more widely",150,1409,799,32
1,accessible. Libraries began to outgrow the closet.,151,1447,577,34
1,The Winn family in the 17th century were certainly not bib-,177,1484,771,33
1,"liophiles, but the changing cultural trends in book ownership",150,1522,798,34
1,55,537,1609,25,18
2,LOOKING BACK,118,108,303,30
2,"What, where and why?",118,172,368,32
2,What have I gained from this workbook?,136,255,655,32
2,What am I going to change because of the things I have learned?,136,502,1043,32
2,Can I do it all by myself or should I be asking someone else to help me? Who should I,136,754,1361,34
2,talk to?,135,793,119,24
2,"Realistically, when can I achieve this by?",137,1020,641,32
2,Actions,120,1286,125,25
2,What are the first things I will do to achieve my goal?,135,1351,857,33
2,Long term action plan,121,1644,351,31
2,What will I do to make sure I stick to my plan?,136,1709,739,32
2,76 Long Covid Workbook,118,2229,333,28
3,WORKING TOOLS ALMOST DAILY IN DEMAND,267,120,562,15
3,scenery and delightful moral sentiments'. 47 Her 'favourite and,150,171,734,34
3,most,890,181,59,16
3,"rational amusement' was reading, and she wished Sarah had been",150,210,799,32
3,with her last winter when she read all of Pope's works. They could,151,247,798,32
3,have commented on them together. She had read scraps of Pope,150,284,799,33
3,when young but now greatly enjoyed the beauties of the verse and,151,323,797,32
3,prose of this charming author.48 In March 1812 she thanked Sarah,151,359,798,33
3,"for books she had sent with her last letter, noting that her comments",151,398,798,31
3,"would induce her to read them.49 Anne Nichols, who married the",151,434,798,29
3,"cleric and antiquary John Pridden, did not share her sister's tastes,",151,473,796,32
3,urging her in 1802 not to read any more of Joanna Baillie's tragedies,151,510,799,33
3,or anything dismal but rather such books as would make her mer-,151,547,798,33
3,"ry 50 but Sarah's nephew, Samuel Bentley, loved to discuss books",151,584,798,33
3,"with her, sending her a copy of his Excerpta Historica, or Illustrations",151,623,799,32
3,of English History in 1831.51,151,659,319,33
3,This shared love of books between John Nichols and his daugh-,178,697,772,33
3,ters proved crucial for the future of his library. When he died in,151,734,798,32
3,"1826, Nichols bequeathed his 'private topographical library and",153,772,796,33
3,"Prints' to his son and divided his other books, prints and pictures",151,809,798,33
3,between him and his sisters. 52 There is no inventory of titles in his,151,846,798,33
3,"will, SO it sheds little light on his library. Sotheby's sale of his books",151,884,798,32
3,in 1828 included the property of 'another gentleman and SO until,151,922,799,34
3,recently we could only guess which books might have belonged to,150,959,798,33
3,"Nichols; but, tucked away on a shelf above the door in the private",151,998,798,32
3,"library, I found a manuscript catalogue which Anne and Isabella",151,1034,798,32
3,"Nichols had made after their father's death. The 1,464 titles were",151,1072,798,30
3,"valued by Joseph Arnould, bookseller of Spring Gardens, using a",151,1109,798,33
3,"code where capital letters spelling ""KINDBROTHE' signify",151,1148,798,32
3,"47. Private Collection, PC1/25/fos. 5-6, NAD4166, Anna Francesca Cradock to Sarah",150,1210,799,25
3,"Nichols, 4 December 1800.",151,1239,250,22
3,"48. Private Collection, PC1/25/fo.7 NAD4167 Anna Francesca Cradock to Sarah",150,1268,799,25
3,"Nichols, 1801.",151,1297,132,21
3,"49. Private Collection, PC1/25/fo.108 NAD4339, Anna Francesca Cradock to Sarah",150,1325,799,25
3,"Nichols, 27 March 1812.",151,1356,226,22
3,"50. Private Collection, PC4/2/f0.119/1-2 NAD3855, Anne Pridden to Sarah Nichols,",151,1385,797,25
3,I2 September 1802.,152,1414,179,24
3,"51. Private Collection, PC1/Library NAD11068, Samuel Bentley to Sarah Nichols,",151,1443,797,25
3,c.1831.,151,1475,63,19
3,"52. London Metropolitan Archives, will of John Nichols, 27 April 1822, proved in the",151,1500,799,26
3,"Consistory Court of London, 21 Dec 1826.",151,1531,396,24
3,101,533,1609,34,13
4,"22 Lambeth 2030 Our Future, Our Lambeth",76,74,457,23
4,"Lambeth 2030 Our Future, Our Lambeth",2771,74,408,22
4,23,3199,74,27,20
4,Our,156,241,148,69
4,2030,163,336,619,222
4,1 - Making Lambeth,858,334,1235,135
4,Neighbourhoods Fit for the Future,856,481,2145,143
4,ambition,159,580,339,69
4,"By 2030, Lambeth will be a clean, vibrant and climate resilient",1811,741,1321,54
4,"borough where people can lead healthier, happier lives.",1810,802,1174,53
4,The on-going and lasting impacts of the climate,1808,916,569,31
4,learning from this was key to the development of,2502,916,574,32
4,"emergency, the cost-of-living crisis and the covid-19",1810,949,622,31
4,"Lambeth's first climate partnership, overseeing the",2502,949,591,30
4,pandemic mean that we must radically change the,1809,983,602,30
4,implementation of the Lambeth Climate Action Plan.,2501,982,640,31
4,way we think and act in Lambeth. From continued,1808,1017,598,30
4,These are momentous actions that will help guide us,2501,1017,620,29
4,lobbying for environmental and fairer legislative,1808,1050,555,30
4,to achieving our collective goal of a more sustainable,2501,1049,620,30
4,"changes and investment at national level, to",1810,1082,521,30
4,and just future - ensuring that everything we do will,2502,1082,602,30
4,"adapting the way we travel, design buildings and",1809,1116,580,31
4,"make Lambeth a more sustainable, climate resilient",2503,1116,601,27
4,"public spaces, and make local, healthy and more",1810,1150,584,30
4,borough for everyone.,2502,1150,258,29
4,"sustainable choices, we all have a role to play in",1810,1182,569,29
4,"improving the health, wellbeing and environment of",1809,1216,607,31
4,"Backed by our residents to act now, we are",2503,1217,512,29
4,others in Lambeth now and for future generations.,1809,1250,596,29
4,committing to tackling the climate and ecological,2502,1249,575,31
4,NET-ZERO,728,1271,183,68
4,emergency together. We will reduce greenhouse gas,2502,1283,617,30
4,The people of Lambeth are proud of their local,1808,1316,541,31
4,emissions from all sources we control or influence,2502,1316,583,26
4,2030,715,1319,185,93
4,area and have already taken steps to tackle climate,1809,1349,597,30
4,and build our resilience to the impacts of climate,2502,1349,569,29
4,"change, but there is a desire and urgency within our",1809,1382,605,31
4,change through sustainable development and,2502,1383,539,30
4,"communities for further decisive, collaborative action.",1809,1417,616,27
4,technologies. This will require a range of interventions,2501,1416,626,31
4,"Residents share that their health, carbon footprint",1809,1449,577,29
4,"and adaptations including improving flood prevention,",2502,1449,628,30
4,"and their streets matter to them, and they want to",1809,1483,580,28
4,"more tree cover, sustainable urban drainage solutions",2502,1483,628,29
4,WELLBEING,893,1510,520,61
4,"commit to improving our shared environment, ensuring",1809,1515,636,32
4,and efficiency of water use. Based on the Citizens',2502,1516,593,31
4,"that everyone knows how they can contribute,",1809,1550,538,30
4,Assembly recommendations we also know the need,2501,1549,617,31
4,however small.,1810,1583,172,24
4,to retrofit at scale to significantly improve energy,2501,1583,566,29
4,efficiency of our buildings and focus on decarbonising,2502,1616,631,30
4,Climate resilience,1810,1656,423,40
4,"our transport network to lower emissions, and we will",2502,1649,627,30
4,continue to lobby the government tirelessly for funding,2502,1682,637,30
4,for a national retrofit programme.,2501,1717,386,29
4,"We face a global climate emergency, and we know",1808,1738,599,31
4,that inaction or insufficient responses will have,1809,1771,542,29
4,"Our hyperconnected inner London, highly urbanised",2502,1782,612,31
4,consequences of an irreversible nature.,1809,1806,460,28
4,location requires us to continue to be led by design,2502,1816,601,31
4,"that reduces traffic and enables people to walk, cycle",2502,1849,626,30
4,"In January 2019, Lambeth became the first London",1809,1871,605,30
4,and use public transport to experience the borough,2502,1882,605,30
4,Borough to declare a climate and ecological,1810,1906,516,30
4,safely and accessibly. This means coming together,2503,1917,597,30
4,emergency and commit to becoming carbon neutral,1809,1939,614,31
4,"and rethinking our transport systems to be inclusive,",2502,1949,612,31
4,across our council buildings and operations by,1809,1971,548,30
4,"enabling healthier, more affordable and sustainable",2502,1982,595,30
4,2030. The Council reached out to residents through,1809,2005,609,29
4,ways to get around the borough including improving,2502,2016,631,31
4,the Citizens' Assembly on the climate crisis and,1809,2036,559,33
4,"our existing network, electric car clubs, e-scooters",2502,2050,594,30
5,"Lambeth 2030 Our Future, Our Lambeth I 03",2772,73,455,26
5,Lambeth 2030,1796,274,1028,126
5,Contents,1809,696,217,46
5,Forewords,1810,848,142,24
5,04,3116,848,31,23
5,Introduction,1810,940,161,23
5,06,3116,941,32,23
5,ELL,1343,1017,102,65
5,20,1503,1042,25,26
5,State of the Borough,1809,1030,275,30
5,10,3119,1032,29,22
5,Our Previous Borough Plan,1809,1122,358,31
5,12,3119,1124,29,22
5,Our Shared Vision for Lambeth 2030,1809,1213,477,27
5,14,3119,1216,29,22
5,Our Ambitions for Lambeth 2030,1809,1304,429,26
5,18,3120,1308,28,22
5,The Lambeth Golden Thread - A Borough of Equity and Justice,1808,1395,832,34
5,20,3117,1399,32,22
5,Ambition 1 - Making Lambeth Neighbourhoods Fit for the Future,1808,1487,852,34
5,22,3117,1491,31,23
5,Ambition 2 - Making Lambeth One of the Safest Boroughs in London,1808,1578,907,35
5,28,3117,1582,31,23
5,Ambition 3 - Making Lambeth A Place We Can All Call Home,1808,1668,798,35
5,32,3117,1674,31,23
5,Our Lambeth 2030 Outcomes,1809,1764,388,26
5,38,3116,1766,32,22
6,FOR THE ENCOURAGEMENT OF BENEFACTIONS,262,120,574,15
6,The concept extended beyond universities and across the Atlantic:,151,173,797,32
6,"when John Sharp, Archbishop of York, proposed that the Society",151,210,798,31
6,for the Propagation of the Gospel (SPG) should help establish a,151,248,799,32
6,"library in New York in 1713, he saw fit to stipulate 'that a Book of",151,284,803,32
6,Benefactions and Subscriptions shall lye on the Table where it may,151,323,798,32
6,be lawfull for others to subscribe books or money'.5,151,360,610,32
6,Sharp also appreciated the importance of catalogues as mobile,179,398,770,32
6,"representations of the library, portable artefacts that could signify",150,435,798,32
6,material realities an ocean away. He specified that a 'Catalogue of,151,473,802,32
6,this Library signed by the Governour the Mayor of the City for the,151,510,799,31
6,time being and one of the Clergy shall be lodged with the Keeper,151,547,798,32
6,of His Grace the Archbishop of Canterburys Library at St Martins,151,585,798,32
6,"as also Catalogues of all the parochial Librarys'.6 Likewise, in 17I5,",151,623,797,32
6,members of the SPG sought donations of books to augment the,151,660,798,33
6,"library of Codrington College in Barbados. Dudley Woodbridge,",150,698,797,32
6,"judge-advocate of Barbados and an active member of the SPG, so-",147,735,801,32
6,licited gifts of books while in England; he returned to Barbados with,150,773,799,32
6,"'a Catalogue of Books, contributed in England to the same Purpose,",152,810,796,32
6,which he was ordered to carry over with him'. The members ap-,151,848,797,32
6,preciated the value that circulating the list would have in soliciting,151,885,798,32
6,"further donations, as St. George Ashe's sermon reported that 'this",151,923,798,32
6,"Catalogue has been proposed to be printed, for the Encouragement",151,960,797,32
6,"of Benefactions, and Advancement of the said Library'.",151,997,660,32
6,"By the early 1720s, library catalogues circulated in England with",178,1034,771,32
6,this more explicit purpose. Notable among them was the catalogue,151,1073,799,32
6,"of Sion College Library, prepared by William Reading, according",151,1110,798,32
6,"to its 1721 printed subscription proposal, 'that the Learned may be",151,1148,798,32
6,fully inform'd at their own Studies what the Library affords upon,151,1184,799,32
6,"any Subject, and that such as are disposed to be Benefactors to it,",151,1222,797,32
6,"5. 'Dr Sharp's Proposal', Oxford, Bodleian Libraries, Papers of the United Society for",151,1297,799,25
6,"the Propagation of the Gospel, A.10.246.",151,1326,379,25
6,"6. 'Dr Sharp's Proposal', Oxford, Bodleian Libraries.",150,1356,491,25
6,"7. St. George Ashe, A Sermon Preached before the Incorporated Society for the Propagation",150,1385,799,26
6,"of the Gospel 18th of February 1714 (London: Printed and Sold by J. Downing,",151,1413,797,26
6,"1715), p. 56. The proposed catalogue appears never to have been printed: see David",152,1443,797,25
6,"McKitterick, 'Books for Barbados and the British Atlantic Colonies in the Early",151,1472,798,25
6,"Eighteenth Century: ""A Catalogue of Books to be Sold by Mr. Zouch"", Proceedings of",150,1500,804,26
6,"the American Antiquarian Society, 118 (2009), pp- 448-49.",150,1531,520,25
6,65,537,1603,25,24
7,How to use the activity diary?,118,109,509,31
7,Keep a note of the activities and rest periods that you have taken during each time period. Mark this in,173,162,1380,34
7,the column that says 'Activity'.,183,201,401,31
7,Score your fatigue or worsening of symptoms at the end of each time period using the first scale,172,252,1308,35
7,below. Put this in the column that says 'Fatigue'.,184,290,645,32
7,"Score how hard you find the activity using the second scale, The Borg Scale below. Put this in the",172,342,1311,34
7,column that says 'Borg',183,380,312,31
7,Fatigue Scale,106,464,227,31
7,5,792,529,16,24
7,0,223,562,16,23
7,1,314,563,12,23
7,2,427,562,16,24
7,3,546,562,15,24
7,4,670,566,17,24
7,6,924,566,16,24
7,7,1052,565,16,24
7,8,1183,566,15,24
7,9,1306,572,15,23
7,10,1410,568,33,24
7,No,197,684,56,33
7,Extreme,1338,682,173,34
7,Fatigue,150,743,150,43
7,Fatigue,1350,741,150,43
7,Borg Scale,119,857,179,31
7,6,212,948,23,33
7,No exertion,335,953,168,23
7,7,211,1032,23,33
7,8,211,1114,23,35
7,Very light,350,1118,139,30
7,9,211,1199,23,33
7,10,200,1283,48,34
7,"Breathing a bit deeper, but still comfortable",585,1286,593,29
7,11,200,1366,47,33
7,Light,386,1370,69,29
7,"Breathing harder, but still able to hold a",585,1431,539,29
7,12,200,1451,47,32
7,conversation,585,1474,171,22
7,13,200,1534,47,32
7,Somewhat hard,305,1538,228,24
7,14,200,1617,48,33
7,15,200,1701,47,33
7,Hard,387,1705,66,23
7,Starting to breathe hard and uncomfortable,584,1703,596,29
7,16,200,1784,47,34
7,17,200,1868,46,33
7,Very Hard,347,1872,143,29
7,18,200,1951,47,33
7,19,199,2034,46,35
7,Extremely hard,584,2039,207,29
7,20,198,2119,49,33
7,Maximal exertion,293,2123,253,24
7,18 Long Covid Workbook,119,2229,332,28
8,"16 Lambeth 2030 Our Future, Our Lambeth",78,75,454,20
8,"Lambeth 2030 Our Future, Our Lambeth",2772,75,412,20
8,17,3200,75,26,19
8,DIVERSE,322,352,328,57
8,SAFE,1042,353,280,85
8,BOROUGH,321,447,262,39
8,AREAS,1080,471,243,56
8,VIBRANT,317,522,226,38
8,PARKS,1153,562,170,40
8,"Our Future, Our Lambeth",1810,515,1120,88
8,CARE,319,588,117,32
8,FAIR,322,682,182,63
8,FRIENDLY,1136,696,188,30
8,INCLUSIVE,320,776,231,35
8,PEOPLE,1085,754,237,47
8,Our Vision Statement,1810,740,593,48
8,WELCOMING,318,844,316,37
8,THRIVING,1035,832,287,46
8,Lambeth - a borough with social and climate justice,1811,844,1234,48
8,at its heart. By harnessing the power and pride of our,1810,899,1270,48
8,GREEN SPACES,521,938,249,25
8,PARKS,521,977,108,25
8,LAMBETH,1196,981,255,40
8,"people and partnerships, we will proactively tackle",1810,955,1202,47
8,SPACES,521,1017,128,25
8,inequalities so that children and young people can have,1810,1011,1321,48
8,the best start in life and so everyone can feel safe and,1809,1065,1282,49
8,SUSTAINABLE,517,1104,268,30
8,AFFORDABLE,1193,1105,220,25
8,SHOPS,1194,1144,112,26
8,thrive in a place of opportunity.,1809,1122,737,48
8,LOCAL,518,1156,191,43
8,OPPORTUNITY,1194,1183,236,26
8,Our Commitments,1810,1226,437,39
8,Our 2030 Ambitions,2503,1227,465,38
8,The vision,155,1299,240,38
8,Our Commitments,849,1299,438,39
8,for Lambeth,1808,1282,291,38
8,The Golden Thread - A Borough of Equity,2501,1309,515,28
8,and Justice,2502,1342,143,22
8,for Lambeth,848,1355,290,38
8,1. We get the basics right and deliver great,1810,1363,565,28
8,Through listening and building on what we already,155,1382,598,27
8,public services that fit what people need,1842,1397,534,27
8,"know, we've created a vision for the future of",157,1415,533,25
8,1. Making Lambeth Neighbourhoods,2503,1409,453,27
8,To deliver this vision requires individual and collective,848,1437,627,27
8,-,1821,1448,11,7
8,Lambeth that's rooted in what people want. This is a,156,1449,625,27
8,We will take a one borough approach to deliver,1840,1439,584,28
8,Fit for the Future,2535,1441,204,23
8,vision that belongs to everyone.,155,1482,377,27
8,commitment and action. This means the Council and,849,1471,630,22
8,our services consistently and well,1841,1472,416,27
8,Lambeth's communities and organisations coming,849,1504,599,27
8,2. Making Lambeth One of the Safest,2502,1507,464,27
8,Achieving this future vision of Lambeth comes down,155,1549,622,27
8,together and standing as one to transform the ways,850,1538,616,27
8,2. People have a say and stake in the decisions,1809,1537,623,28
8,Boroughs in London,2534,1540,251,27
8,"to all of us. We are all connected, and we all have a",155,1582,612,26
8,we work.,848,1572,109,21
8,that matter,1841,1571,148,22
8,"stake in Lambeth to make it the best place to live,",156,1615,592,27
8,- We will be a listening and open borough that,1821,1612,571,27
8,3. Making Lambeth A Place We Can All,2502,1604,486,28
8,work and visit in the UK.,155,1649,289,22
8,"By listening to our communities, understanding their",849,1638,620,27
8,recognises and values our community voices,1841,1645,557,27
8,Call Home,2534,1639,129,22
8,"experiences, and aligning our priorities with theirs, we",849,1671,636,27
8,From our conversations we know people agree with a,156,1715,640,27
8,"can build confidence between Lambeth's institutions,",849,1704,634,26
8,"3. We work together in partnership, to harness",1809,1710,614,28
8,group of core priorities and ambitions for the future of,156,1749,637,27
8,"businesses, community groups and organisations,",849,1738,597,27
8,what makes Lambeth special,1840,1743,388,28
8,Lambeth. They are ready to come together and bring,156,1782,632,28
8,"and residents, and we can ensure that the changes",849,1771,611,27
8,- We will collaborate with our people and partners,1821,1784,616,28
8,"this vision to life, and there is also strong support in",155,1815,609,28
8,"we make, and the partnerships we form, are all",848,1804,561,28
8,to innovate and implement together,1847,1818,445,27
8,"the shift towards taking a longer-term view, SO that we",155,1849,645,27
8,"contributing to improving the lives of those who live,",849,1838,615,28
8,are ready for the unforeseen challenges of the future.,155,1882,626,28
8,"work, learn and visit our borough.",848,1871,399,27
8,"4. We are accessible, transparent and we stand",1808,1883,625,27
8,up to challenges,1840,1916,219,27
8,- We will focus on what our residents want and be,1821,1956,620,23
8,"honest about what we can and can't do, whilst",1841,1990,580,25
8,being courageous to take bold action,1841,2024,462,27
9,CSM FLIGHT PLAN,222,915,28,307
9,137:00,298,1855,15,59
9,SIM EXP STATUS,298,1144,16,140
9,137:30,296,982,16,59
9,SIM EXP STATUS,295,273,16,137
9,UPDATE:,308,1693,16,65
9,"SET HGA: MAN, WIDE, P -10, Y 25 FOR AOS",303,500,19,393
9,(+0100),317,1185,19,66
9,(P20),328,1879,19,45
9,TEI 38 PAD,328,1639,16,99
9,(P20),323,1005,19,45
9,(+0100),314,313,19,65
9,(0.5°08),350,1850,19,73
9,SOLAR CORONA PHOTO PAD (137:33),347,1434,21,304
9,(00200),338,1185,19,65
9,(0.5°DB),343,976,19,73
9,(00200),336,313,19,65
9,FLIGHT PLAN,369,1630,16,108
9,(11101),389,1859,19,63
9,(11101),383,986,19,64
9,(_1111),409,1860,20,64
9,(_1111),404,985,19,63
9,SOLAR CORONA PHOTO PAD (SR),401,346,21,265
9,SOLAR CORONA (SUNRISE),464,680,19,213
9,T-START:,461,536,15,75
9,(SR -7 MIN),486,423,20,104
9,:10,697,1856,16,28
9,:40,697,982,15,28
9,PCM BIT RATE - LOW (NEXT 7 MIN) (159°W),772,520,21,374
9,02 FUEL CELL PURGE,853,718,26,177
9,CONFIGURE FOR URINE DUMP,887,1531,16,237
9,LS,887,1194,16,19
9,WASTE WATER DUMP,884,737,16,158
9,LS,885,331,16,21
9,VHF,908,1195,15,29
9,VHF,905,332,15,30
9,CMDS: (AOS +61 MIN),987,1572,19,186
9,DSE REWIND,1009,1640,15,98
9,REV 26,1061,981,15,57
9,PCM BIT RATE - HIGH (180°W),1052,630,20,265
9,:20,1097,1855,15,28
9,:50,1097,982,15,28
9,SAMPLE BUSS (1) - STOW SAMPLE (1),1092,569,20,325
9,DUMP URINE FROM BUSS (1) - STOW,1113,588,19,308
9,CSM EXP/EVA CHECKLIST,1128,1549,16,208
9,SOLAR CORONA (SR) PAGE X/2-9,1156,1471,20,295
9,MAG (99),1197,1689,20,77
9,CMDS: (AOS +69 MIN),1306,1571,20,185
9,DSE RECORD,1327,1639,15,97
9,137:30,1495,1855,16,59
9,VERIFY DSE TAPE MOTION (HBR/RCD/FWD/CMD RESET),1484,1314,21,451
9,138:00,1495,983,16,58
9,MISSION,1541,1319,16,92
9,EDITION,1541,1114,16,89
9,DATE,1541,886,16,54
9,PAGE,1540,736,17,60
9,APOLIO 17,1568,1319,16,88
9,FINAL (12/6),1568,1101,21,117
9,10/23/72,1569,877,17,78
9,3-175,1569,742,16,48
10,LOI,127,1072,25,45
10,BURN TABLE,161,1004,25,163
10,P OR Y,249,1485,25,98
10,ATT,249,1203,25,51
10,SHUTDOWN,250,894,25,124
10,RESIDUALS,253,626,25,146
10,RATES,283,1501,25,82
10,DEVIATION,283,1169,25,148
10,TIME,285,923,25,65
10,10°/SEC,347,1450,29,115
10,+10°,348,1222,26,64
10,TAKEOVER &,382,1418,25,165
10,TAKEOVER &,383,1170,25,165
10,BT + 10 SEC,384,857,26,179
10,DO NOT TRIM,386,608,25,180
10,COMPLETE,415,1435,25,131
10,COMPLETE,416,1188,25,130
10,BALL VLV FAILURE - START ON GOOD BANK (LM AVAIL),480,827,34,788
10,Shut down good bank 10 sec before nominal C/O.,518,829,32,753
10,EARLY C/O - RESTART IF NO LIMITS EXCEEDED G&N IS GO AND VG0>50,558,595,33,1020
10,CSM 4-1(b). - L01 mode IDPS abort. (LD: Dec 7 G.m.t.),620,1239,20,519
10,Launch day dependent,624,859,20,190
10,9/26/72 Final,622,512,21,159
10,Mission profile dependent,647,827,20,222
10,Burntime,677,1635,17,75
10,AVM,677,1455,17,45
10,Mode,677,1293,16,45
10,SPS limits,677,1141,17,94
10,Procedure,679,753,17,86
10,0:00 0:28,722,1625,18,111
10,0 183,722,1426,18,75
10,I,721,1306,19,13
10,TIGHT,722,1165,17,57
10,DPS at 2 hr (RTCC),722,899,18,177
10,0:28 0:53,755,1625,18,112
10,183 348,755,1425,18,102
10,I,755,1306,18,12
10,TIGHT,755,1165,17,58
10,DPS at 30 min (crew chart),756,843,18,234
10,0:53 1:31,789,1625,18,112
10,348 613,789,1427,18,101
10,I,789,1307,18,12
10,LOOSE,790,1159,17,64
10,DPS at 30 min to depletion + APS at 2 1/2 hr (RTCC);,790,584,21,493
10,"loss of comm, DPS followed immediately by APS (crewchart)",812,520,22,530
10,1:31 2:03,846,1625,17,112
10,613 833,845,1426,18,101
10,II,845,1307,18,18
10,LOOSE,846,1159,17,64
10,DPS at 2 hr + DPS to depletion at perilune + APS at 2 hr,846,565,21,512
10,after DPS depletion (RTCC),869,805,20,245
10,2:03 2:54,901,1624,18,113
10,833 1200,901,1412,18,116
10,II,902,1307,17,19
10,LOOSE,902,1159,16,64
10,DPS at 2 hr + DPS at perilune (RTCC),903,734,21,344
10,2:54 3:40,936,1623,17,115
10,1200 1543,936,1413,18,127
10,III,935,1308,19,23
10,LOOSE,936,1159,16,63
10,DPS at perilune (RTCC),932,866,25,212
10,3:40 4:30,969,1622,18,114
10,1543 1930,970,1411,17,127
10,III,969,1309,19,22
10,TIGHT,970,1165,17,57
10,DPS at perilune (RTCC),967,866,24,211
10,4:30 Cutoff,1003,1614,18,124
10,1930 2980,1003,1410,17,128
10,III,1003,1307,19,24
10,TIGHT,1005,1164,16,57
10,DPS to depletion at perilune + APS at 2 hr after,1004,652,21,425
10,DPS depletion (RTCC),1027,853,19,199
10,THE PU VALVE SHOULD BE USED TO MAINTAIN,1099,595,27,642
10,IGN <3 MIN 40 SEC LATE,1120,1449,27,358
10,THE INDICATED UNBALANCE TO WITHIN +50 LB,1133,579,27,657
10,SHUTDOWN TIMES,1155,1581,25,229
10,OF THE STABILIZED READING (TIG +25 SEC),1165,599,33,638
10,UNTIL CROSSOVER. AFTER CROSSOVER THE VALVE,1199,529,27,707
10,0 TO 1 MIN 20 SEC - 10 SEC,1220,1382,28,427
10,SHOULD BE USED TO CONTROL THE GREEN BAND,1233,579,27,657
10,1 MIN 20 SEC TO 2 MIN - 5 SEC,1254,1334,27,474
10,(0+100 LB). THE APPROXIMATE TIME OF CROSS-,1263,531,33,702
10,2 MIN TO 3 MIN 40 SEC - 0 SEC,1287,1333,29,475
10,OVER IS 4 MIN 20 SEC INTO THE LOI BURN,1297,612,28,625
10,APOLLO 17,1437,1677,25,149
10,FINAL (12/6),1437,1401,31,193
10,10/23/72,1441,1016,28,129
